scenario_id,stage,scenario_name,description,trigger_query_id,plan_id,input_summary,property_id,vendor_id,buyer_id,employee_id,step_1_agent,step_1_action,step_1_output,step_2_agent,step_2_action,step_2_output,step_3_agent,step_3_action,step_3_output,step_4_agent,step_4_action,step_4_output,final_outcome,time_taken_ms,cost_usd,human_involvement,success_metrics,demo_talking_points
HP-011,6,Instant Enquiry Response,Sub-5-minute email response,QRY-026,PLAN-014,Sarah Thompson enquires about 47 Oak Road via Rightmove,PROP-2024-5678,,BUY-2024-3002,EMP-001,orchestrator,Assess urgency and route,Priority: HIGH - FTB approved mortgage,content,Generate personalized email,Response with 3 viewing slots,scout,Prepare property brief,Key points for negotiator call,compliance,Validate email,Approved for sending,Buyer receives personalized response in 4 minutes,4300,0.83,Negotiator follows up,Response time: 4 min | Conversion: 2.3x higher,Speed = more viewings = more offers
HP-012,6,Viewing Preparation,Auto-prep for next day viewings,QRY-028,PLAN-015,4 viewings scheduled tomorrow for 9 Mill Road,PROP-2024-5683,VEN-006,,EMP-001,orchestrator,Get viewing schedule,4 viewings: 10am 11am 2pm 4pm,content,Send vendor preparation email,Vendor notified with checklist,content,Send buyer reminders,4 reminder emails sent,scout,Prepare viewing brief,Key points document ready,Vendor prepped + buyers reminded + negotiator briefed,5500,0.75,Negotiator conducts viewings,No-show rate: reduced 60% | Vendor satisfaction: 95%,Eliminates forgotten viewings and unprepared vendors
HP-013,7,Daily Feedback Summary,Aggregate all viewing feedback,QRY-031,PLAN-017,End of day - compile all feedback across portfolio,Multiple,Multiple,,EMP-001,scout,Gather all feedback records,18 feedback entries today,intelligence,Identify patterns,3 properties have price concerns,content,Generate summary report,Daily insights document ready,,,,Manager has complete daily overview in 60 seconds,6000,0.85,Manager reviews insights,Feedback processed: 18 | Patterns identified: 3,No more forgotten feedback or manual collation
HP-014,7,Weekly Vendor Report,Comprehensive property report,QRY-032,PLAN-018,Week 2 report for 47 Oak Road,PROP-2024-5678,VEN-001,,EMP-001,scout,Gather week data,12 viewings | 28 enquiries | 2 offers,intelligence,Analyze activity vs market,Performing 40% above average,scout,Get market context,3 similar properties sold this week,content,Generate full report,Professional PDF report ready,Vendor receives detailed report with recommendations,14800,1.55,Negotiator presents to vendor,Report time: 15 sec | Vendor satisfaction: 98%,Professional reports in seconds not hours
HP-015,8,Cash Offer Qualification,Verify and score cash offer,QRY-036,PLAN-020,£275k offer from Michael Brown on 47 Oak Road,PROP-2024-5678,VEN-001,BUY-2024-3001,EMP-001,orchestrator,Parse offer details,Offer: £275k cash no chain,compliance,Verify proof of funds,Bank statement verified: £340k available,scout,Confirm solicitor ready,Solicitor Clarke & Partners confirmed,intelligence,Score buyer strength,Score: 95/100 EXCELLENT,Qualified offer ready for vendor presentation,8500,1.25,Negotiator presents offer,Qualification time: 8 sec | Accuracy: 98%,Instant qualification vs hours of phone calls
HP-016,8,Offer Presentation,Prepare vendor recommendation,QRY-038,PLAN-021,Present £350k offer on 9 Mill Road from Dr Stewart,PROP-2024-5683,VEN-006,BUY-2024-3011,EMP-001,orchestrator,Analyze offer context,£350k vs £350k asking = 100%,scout,Get market comparisons,Similar sold £345k last month,intelligence,Assess buyer strength,Cash chain-free = highly proceedable,content,Generate presentation,Recommendation document ready,Negotiator has complete offer pack with recommendation,6500,0.95,Negotiator presents to vendor,Presentation prep: 6 sec | Acceptance rate: 89%,Data-driven recommendations increase acceptance
HP-017,9,Sale Agreed Processing,Complete sale agreed workflow,QRY-041,PLAN-022,Sale agreed: 47 Oak Road £280k to Michael Brown,PROP-2024-5678,VEN-001,BUY-2024-3001,EMP-001,orchestrator,Initiate sale workflow,Workflow started: 7 tasks,content,Generate congratulations,Emails to buyer and vendor sent,scout,Collect solicitor details,Both solicitors confirmed,content,Create handover brief,Progressor brief ready,Sale handed to progression with all details in 12 seconds,12000,1.65,Progressor takes over,Handover time: 12 sec | Data completeness: 100%,Zero information lost in handover
HP-018,9,Chain Mapping,Visualize full transaction chain,QRY-043,PLAN-022,Map chain for 31 Park Road sale,PROP-2024-5682,VEN-005,BUY-2024-3023,EMP-005,scout,Get buyer property status,Buyer selling in Stockport - under offer,scout,Get that buyer's chain,Their buyer is FTB - chain ends,intelligence,Analyze chain risk,3-link chain | Risk: MEDIUM,content,Visualize chain,Chain diagram ready,,,,Complete chain visibility for progressor,6000,0.85,Progressor monitors chain,Chain mapped: 3 links | Risk identified: MEDIUM,See entire chain at a glance
HP-019,10,MoS Generation,Create and distribute memorandum,QRY-046,PLAN-023,Generate MoS for 47 Oak Road sale,PROP-2024-5678,VEN-001,BUY-2024-3001,EMP-005,scout,Gather all party details,4 parties confirmed: buyer vendor 2 solicitors,content,Generate MoS document,Professional MoS PDF created,content,Distribute to all parties,4 emails sent with MoS,scout,Update portal to SSTC,Rightmove Zoopla OTM updated,All parties have MoS + portals updated in 9 seconds,9500,1.35,None required,Generation time: 9 sec | Accuracy: 100%,Eliminates typos and delays in MoS
HP-020,10,Portal Status Update,Mark property as SSTC,QRY-048,PLAN-023,Update 42 Hawthorn Drive to SSTC,PROP-2024-5705,VEN-028,,EMP-009,orchestrator,Process status change,New status: SSTC,scout,Update Rightmove,Rightmove status changed,scout,Update Zoopla,Zoopla status changed,scout,Update OnTheMarket,OTM status changed,All portals show SSTC simultaneously,3500,0.45,None required,Sync time: 3 sec | Portals: 3,Instant multi-portal sync
HP-021,11,Weekly Progression Chase,Automated solicitor follow-up,QRY-052,PLAN-024,Weekly chase on 31 Park Road - contracts not received,PROP-2024-5682,VEN-005,,EMP-005,scout,Check current status,Contracts requested 10 days ago - no response,intelligence,Assess delay risk,Risk: MEDIUM - flag for attention,content,Generate chase email,Professional chase to vendor solicitor,orchestrator,Create escalation task,Task for progressor if no response 48hrs,Solicitor chased + escalation scheduled,8000,1.15,Progressor monitors response,Chase automated | Escalation: scheduled,No transaction falls through cracks
HP-022,11,Fall-Through Prevention,Early intervention on at-risk sale,QRY-055,PLAN-024,Red flag: 11 Albert Street buyer gone quiet,PROP-2024-5698,VEN-021,BUY-2024-3015,EMP-005,scout,Get all recent activity,No buyer contact 14 days | Solicitor silent,intelligence,Analyze risk factors,RISK: HIGH - 3 warning signs,content,Generate intervention plan,Recommended: Call buyer directly,orchestrator,Alert negotiator urgently,Urgent task created,Potential fall-through identified before it happens,7500,1.05,Negotiator intervenes immediately,Early warning: 14 days ahead | Save rate: 73%,AI spots problems humans miss
HP-023,12,Exchange Readiness Check,Verify all parties ready,QRY-056,PLAN-024,Pre-exchange check for 17 Forest Road,PROP-2024-5694,VEN-017,BUY-2024-3037,EMP-005,scout,Check buyer readiness,Deposit ready | Mortgage offer valid,scout,Check vendor readiness,Property vacant | Docs signed,scout,Check solicitor status,Contracts approved both sides,intelligence,Assess exchange readiness,READY: All green lights,All parties confirmed ready - exchange can proceed,8000,1.10,Progressor coordinates date,Readiness check: 8 sec | Issues found: 0,No last-minute surprises at exchange
HP-024,12,Exchange Confirmation,Process successful exchange,QRY-059,PLAN-024,Exchange confirmed on 17 Forest Road,PROP-2024-5694,VEN-017,BUY-2024-3037,EMP-005,orchestrator,Log exchange,Exchanged 27 Nov | Completion 15 Dec,content,Send congratulations,Both parties notified,scout,Update all systems,CRM and portals updated,content,Notify all stakeholders,Lender and solicitors informed,Exchange celebrated + completion countdown started,6000,0.85,Negotiator calls both parties,Update time: 6 sec | Parties notified: 6,Seamless exchange processing
HP-025,13,Completion Day Monitoring,Track funds and legal completion,QRY-062,PLAN-025,Completion day for 17 Forest Road,PROP-2024-5694,VEN-017,BUY-2024-3037,EMP-005,scout,Monitor funds transfer,Funds received by buyer solicitor 10:30am,scout,Confirm legal completion,Completion confirmed 2:15pm,orchestrator,Authorize key release,Keys can be released,content,Send completion alerts,Buyer vendor and team notified,Keys released within minutes of legal completion,8000,1.05,Negotiator hands over keys,Completion tracked | Keys: released 2:20pm,Real-time completion tracking
HP-026,13,Key Handover,Release keys to new owner,QRY-064,PLAN-025,17 Forest Road completed - release keys,PROP-2024-5694,VEN-017,BUY-2024-3037,EMP-001,orchestrator,Confirm completion,Legal completion verified,scout,Log key collection,Keys collected by Mr Howard,content,Send welcome message,Welcome home email to buyer,,,,New owner has keys + welcome pack,4000,0.55,Negotiator hands over keys,Handover time: 5 mins | Welcome sent: instant,Perfect completion experience
HP-027,14,Commission Invoice,Generate and submit invoice,QRY-066,PLAN-025,Invoice for 17 Forest Road completion,PROP-2024-5694,VEN-017,,EMP-020,orchestrator,Calculate commission,£375k × 1.2% = £4500 + VAT,content,Generate invoice,Professional invoice PDF created,content,Send to vendor solicitor,Invoice emailed to solicitor,scout,Log in accounts system,Invoice logged: INV-2024-1234,Invoice submitted within 5 minutes of completion,5000,0.65,Accounts tracks payment,Invoice time: 5 min | Accuracy: 100%,Commission secured immediately
HP-028,14,Marketing Removal,Remove all listing marketing,QRY-067,PLAN-025,Remove 17 Forest Road from all marketing,PROP-2024-5694,VEN-017,,EMP-009,scout,Remove from Rightmove,Listing removed,scout,Remove from Zoopla,Listing removed,scout,Remove from OnTheMarket,Listing removed,orchestrator,Request board removal,Board collection scheduled,All marketing down + board collection booked,4500,0.55,Board collector dispatched,Removal time: 4 sec | Portals: all cleared,Instant cleanup
HP-029,15,Client Database Update,Vendor becomes buyer,QRY-071,PLAN-012,Sarah Anderson now searching for 4-bed in M21,PROP-2024-5678,VEN-001,,EMP-001,orchestrator,Update client status,Sarah now flagged as buyer,scout,Create buyer record,BUY-2024-3051 created,intelligence,Match to active properties,3 suitable properties found,content,Send property matches,Email with 3 options sent,Vendor retained as buyer with immediate matches,5500,0.75,Negotiator nurtures relationship,Retention: 100% | New matches: 3,Never lose a client - instant role transition
HP-030,15,Review Request,Ask for Google review,QRY-068,PLAN-025,Request reviews from 17 Forest Road clients,PROP-2024-5694,VEN-017,BUY-2024-3037,EMP-001,orchestrator,Identify happy clients,Satisfaction score: 9.5/10,content,Generate personalized request,Thank you + review link email,content,Send to vendor,Email to George & Patricia Howard,content,Send to buyer,Email to buyer,Review requests sent to both parties,3500,0.45,None required,Request sent: auto | Review rate: 45%,Automated reputation building
