scenario_id,stage,scenario_name,edge_case_type,description,trigger_query_id,plan_id,property_id,vendor_id,buyer_id,employee_id,issue_detected,agent_handling,resolution_action,final_outcome,time_taken_ms,cost_usd,human_required,demo_talking_points
EC-011,6,Double Booking,scheduling_conflict,Two viewings accidentally booked same time,QRY-028,PLAN-015,PROP-2024-5683,VEN-006,,EMP-001,Conflict: BUY-3011 and BUY-3019 both 2pm Saturday,orchestrator,Detect conflict and reschedule lower priority,Higher-scored buyer keeps slot - other offered 2:30pm,3500,0.45,false,Scheduling conflicts auto-resolved
EC-012,6,Vendor Unavailable,access_issue,Vendor suddenly unavailable for confirmed viewings,QRY-028,PLAN-015,PROP-2024-5697,VEN-020,,EMP-001,Vendor called: family emergency - cancel all viewings today,content,Generate apologetic rescheduling emails,5 buyers notified with new date options - sympathy tone,4500,0.65,false,Graceful handling of last-minute cancellations
EC-013,7,Contradictory Feedback,data_conflict,Two buyers give opposite feedback on same feature,QRY-031,PLAN-017,PROP-2024-5683,VEN-006,,EMP-001,Buyer A: garden too small | Buyer B: garden perfect size,intelligence,Flag as subjective - no action needed,Report notes: garden size subjective - vendor informed,5000,0.65,false,AI distinguishes objective issues from personal taste
EC-014,7,Price Significantly Below Market,market_alert,Feedback suggests price 20%+ below comparable sales,QRY-032,PLAN-018,PROP-2024-5695,VEN-018,,EMP-003,5 buyers said: bargain price! | Comps show £240k avg,intelligence,Alert: potential underpricing detected,Negotiator alerted - recommend vendor discussion before accepting offers,7500,0.95,true,AI protects vendor from underselling
EC-015,8,Gazumping Attempt,offer_conflict,New higher offer received after sale agreed,QRY-036,PLAN-020,PROP-2024-5682,VEN-005,BUY-2024-3025,EMP-001,New offer £295k received - existing agreed £290k,orchestrator,Flag ethical issue - vendor decision required,Vendor informed of new offer - decision documented either way,5000,0.65,true,AI handles ethical situations correctly
EC-016,8,Proof of Funds Mismatch,verification_fail,Bank statement shows less than offered amount,QRY-036,PLAN-020,PROP-2024-5692,,BUY-2024-3039,EMP-001,Offer: £550k | Bank statement shows: £485k,compliance,Flag insufficient funds - request clarification,Buyer asked to explain gap or provide additional proof,6000,0.75,true,Catches financial discrepancies before they cause problems
EC-017,9,Solicitor Not Responding,communication_block,Buyer's solicitor uncontactable for 7+ days,QRY-042,PLAN-022,PROP-2024-5698,VEN-021,BUY-2024-3015,EMP-005,No response from solicitor: 4 emails + 2 calls over 7 days,intelligence,Flag as risk - recommend buyer escalation,Alert sent to buyer: please contact your solicitor urgently,5500,0.75,true,Proactive communication gap detection
EC-018,11,Chain Break Risk,chain_analysis,One party in chain sale just fell through,QRY-055,PLAN-024,PROP-2024-5682,VEN-005,BUY-2024-3023,EMP-005,Buyer's buyer (end of chain) sale collapsed,intelligence,Assess impact and find alternatives,Alert: chain break risk - backup buyer search initiated,8500,1.15,true,AI responds to chain problems instantly
EC-019,12,Last Minute Enquiry,exchange_delay,Solicitor raises new enquiry day before exchange,QRY-060,PLAN-024,PROP-2024-5686,VEN-009,BUY-2024-3012,EMP-005,New enquiry: boundary dispute question raised at 4pm,orchestrator,Urgent escalation - all parties alerted,Emergency call scheduled for 9am - exchange postponed 48hrs,4500,0.55,true,AI escalates urgent blockers immediately
EC-020,13,Funds Delay,completion_risk,Completion day - funds not received by 2pm,QRY-063,PLAN-025,PROP-2024-5699,VEN-022,,EMP-005,Expected 10am - still not received 2pm - CHAPS cutoff 3:30pm,orchestrator,Urgent escalation to both solicitors,Emergency chase initiated - funds arrived 2:45pm - completed,5500,0.75,true,Time-critical issues get immediate attention
