plan_id,step_number,parallel_group,action,assigned_agent,dependencies,input_required,expected_output,estimated_time_ms,estimated_cost_usd,is_critical
PLAN-017,1,A,Aggregate daily feedback,scout,,date|all_properties,all_feedback_records,2000,0.25,true
PLAN-017,2,A,Identify patterns,intelligence,step_1,feedback_data,patterns|concerns|opportunities,2500,0.40,true
PLAN-017,3,A,Generate insights report,content,step_2,analysis,daily_summary,1500,0.20,false
PLAN-018,1,A,Gather weekly data,scout,,property_id|week_dates,viewings|enquiries|portal_stats,3000,0.35,true
PLAN-018,2,A,Analyze activity and feedback,intelligence,step_1,weekly_data|feedback,analysis|trends,3500,0.40,true
PLAN-018,3,A,Get market comparison,scout,step_1,postcode|price_range,market_context,2000,0.25,true
PLAN-018,4,B,Generate report content,content,step_2|step_3,all_analysis,report_sections,4800,0.45,true
PLAN-018,5,B,Format and finalize,orchestrator,step_4,report_content,final_report,1500,0.10,true
PLAN-019,1,A,Process price change,orchestrator,,property_id|new_price,update_plan,500,0.05,true
PLAN-019,2,A,Update all portals,scout,step_1,property_id|new_price,portals_updated,2500,0.35,true
PLAN-019,3,A,Re-run buyer matching,intelligence,step_1,new_criteria,new_matches,2500,0.40,true
PLAN-019,4,B,Notify interested buyers,content,step_3,buyer_list|price_change,emails_sent,2000,0.30,false
PLAN-020,1,A,Parse offer details,orchestrator,,offer_data,structured_offer,500,0.05,true
PLAN-020,2,A,Verify buyer finances,compliance,step_1,buyer_id|proof_of_funds,financial_verification,2500,0.35,true
PLAN-020,3,A,Check chain status,scout,step_1,buyer_property_address,chain_assessment,2000,0.30,true
PLAN-020,4,B,Verify solicitor details,scout,step_2,solicitor_info,solicitor_verified,1500,0.20,false
PLAN-020,5,B,Assess buyer strength,intelligence,step_2|step_3,all_verifications,buyer_score|recommendation,2000,0.35,true
PLAN-021,1,A,Analyze offer context,orchestrator,,offer|property|market,presentation_plan,600,0.08,true
PLAN-021,2,A,Get market comparisons,scout,step_1,property_id,recent_sales|competing_listings,2000,0.30,true
PLAN-021,3,A,Assess offer strength,intelligence,step_1,buyer_profile|offer_amount,strength_analysis,2000,0.30,true
PLAN-021,4,B,Generate presentation,content,step_2|step_3,all_analysis,presentation_document,1900,0.27,true
PLAN-022,1,A,Process sale agreed,orchestrator,,offer_id|acceptance,workflow_plan,600,0.08,true
PLAN-022,2,A,Generate congratulations,content,step_1,buyer_details|vendor_details,congratulations_emails,2000,0.30,true
PLAN-022,3,A,Collect buyer solicitor,scout,step_1,buyer_id,buyer_solicitor_details,1500,0.20,true
PLAN-022,4,A,Collect vendor solicitor,scout,step_1,vendor_id,vendor_solicitor_details,1500,0.20,true
PLAN-022,5,B,Map chain,intelligence,step_3|step_4,both_party_details,chain_visualization,2500,0.35,true
PLAN-022,6,B,Create handover brief,content,step_5,all_details,progressor_handover,2400,0.40,true
PLAN-022,7,C,Assign to progressor,orchestrator,step_6,handover_brief,case_assigned,1500,0.12,true
PLAN-023,1,A,Gather all party details,scout,,sale_id,complete_party_info,2500,0.30,true
PLAN-023,2,A,Generate MoS document,content,step_1,all_party_details|sale_terms,mos_document,3500,0.50,true
PLAN-023,3,B,Email to buyer,content,step_2,mos|buyer_email,sent_confirmation,700,0.10,true
PLAN-023,4,B,Email to vendor,content,step_2,mos|vendor_email,sent_confirmation,700,0.10,true
PLAN-023,5,B,Email to solicitors,content,step_2,mos|solicitor_emails,sent_confirmations,1400,0.20,true
PLAN-023,6,C,Update portal status,scout,step_2,property_id,status_updated_sstc,700,0.15,true
PLAN-024,1,A,Get case status,scout,,case_id,current_status_all_parties,3000,0.35,true
PLAN-024,2,A,Identify blockers,intelligence,step_1,status_data,blockers|risks,2500,0.35,true
PLAN-024,3,A,Generate chase list,orchestrator,step_2,blockers,prioritized_actions,1500,0.15,true
PLAN-024,4,B,Generate chase emails,content,step_3,chase_list|contacts,chase_communications,3000,0.45,true
PLAN-024,5,B,Update chain status,scout,step_1,related_sales,chain_visualization,2000,0.25,true
PLAN-024,6,C,Generate party updates,content,step_2|step_5,status|chain,buyer_update|vendor_update,2000,0.25,false
PLAN-024,7,C,Flag at-risk cases,intelligence,step_2,risk_indicators,risk_alerts,1000,0.05,true
PLAN-025,1,A,Monitor completion,scout,,case_id,funds_status|legal_status,3000,0.35,true
PLAN-025,2,A,Confirm legal completion,scout,step_1,solicitor_confirmation,completion_confirmed,2000,0.25,true
PLAN-025,3,B,Process key release,orchestrator,step_2,completion_status,key_release_authorized,1000,0.10,true
PLAN-025,4,B,Generate invoice,content,step_2,sale_details|fee_rate,commission_invoice,2000,0.30,true
PLAN-025,5,C,Remove portal listings,scout,step_2,property_id,listings_removed,2000,0.25,true
PLAN-025,6,C,Update CRM status,scout,step_2,property_id,status_completed,1000,0.15,false
PLAN-025,7,D,Generate congratulations,content,step_3,buyer_details|vendor_details,congratulations_messages,2000,0.30,true
PLAN-025,8,D,Request reviews,content,step_7,client_emails,review_requests_sent,2000,0.30,false
PLAN-025,9,D,Submit invoice,orchestrator,step_4,invoice|solicitor_email,invoice_submitted,1000,0.10,true
