category,code,display_name,description,sort_order
selling_reason,probate,Probate,Deceased estate sale,6
selling_reason,investment_sale,Investment Sale,Selling investment property,7
selling_reason,first_time_seller,First Time Seller,First property being sold,8
selling_reason,health_related,Health Related,Moving for health reasons,9
selling_reason,estate_planning,Estate Planning,Asset reorganization,10
portal,rightmove,Rightmove,UK's largest property portal,1
portal,zoopla,Zoopla,Major property portal,2
portal,onthemarket,OnTheMarket,Agent-owned property portal,3
communication_preference,phone,Phone,Prefers phone calls,1
communication_preference,email,Email,Prefers email communication,2
communication_preference,whatsapp,WhatsApp,Prefers WhatsApp messaging,3
communication_preference,text,Text/SMS,Prefers text messages,4
priority_level,hot,Hot,High priority - ready to proceed,1
priority_level,warm,Warm,Good prospect - actively searching,2
priority_level,cool,Cool,Lower priority - casually looking,3
priority_level,cold,Cold,Not active - needs nurturing,4
branch,manchester_didsbury,Manchester Didsbury,Main Didsbury branch office,1
branch,manchester_chorlton,Manchester Chorlton,Chorlton branch office,2
branch,head_office,Head Office,Central administration,3
department,sales,Sales,Property sales department,1
department,lettings,Lettings,Rental lettings department,2
department,valuations,Valuations,Property valuation team,3
department,progression,Progression,Sales progression team,4
department,marketing,Marketing,Marketing and media team,5
department,administration,Administration,Admin support,6
department,management,Management,Management team,7
department,finance,Finance,Accounts and finance,8
department,operations,Operations,IT and operations,9
