property_id,address_line1,address_line2,city,postcode,property_type,bedrooms,bathrooms,reception_rooms,tenure,asking_price,price_qualifier,status,days_on_market,instruction_date,epc_rating,epc_expiry,council_tax_band,year_built,square_feet,garden,parking,garage,key_features,property_description_status,photos_count,floorplan_available,virtual_tour_available,assigned_negotiator_id,assigned_valuer_id,vendor_id,portal_rightmove,portal_zoopla,portal_onthemarket,total_viewings,total_enquiries,offers_received,current_offer_amount,chain_status,notes
PROP-2024-5688,Plot 7 Oakwood Gardens,,Manchester,M20 8NP,new_build_detached,4,3,2,freehold,425000,fixed_price,active,0,2024-11-26,A,2034-11-26,E,2024,1500,landscaped_garden,driveway_2_cars,integral,"brand_new,developer_warranty,kitchen_appliances_included,underfloor_heating",pending_approval,8,true,true,EMP-013,EMP-004,VEN-011,false,false,false,0,15,0,0,no_chain,"New build just instructed. Awaiting portal launch."
PROP-2024-5689,55 Church Lane,,Manchester,M21 0PQ,bungalow,2,1,1,freehold,275000,guide_price,active,18,2024-11-08,D,2026-09-05,C,1955,850,rear_garden_50ft,driveway_2_cars,single,"single_storey,no_chain,retirement_ideal,quiet_cul_de_sac",approved,12,true,false,EMP-011,EMP-016,VEN-012,true,true,true,7,16,0,0,chain_free,"Attracting downsizer interest. Vendor relocating to Spain."
PROP-2024-5690,12 Bridge Street,Apartment 8,Manchester,M21 0QR,flat,2,2,1,leasehold,220000,guide_price,active,25,2024-11-01,B,2033-04-18,C,2010,720,juliet_balcony,secure_parking,none,"riverside_views,modern_kitchen,video_entry,pets_allowed",approved,16,true,true,EMP-006,EMP-007,VEN-013,true,true,true,11,29,1,215000,chain,"Good location. Offer slightly below asking - vendor considering."
PROP-2024-5691,33 Station Road,,Manchester,M21 8MN,semi_detached_house,4,2,2,freehold,340000,offers_invited,active,6,2024-11-20,C,2030-12-01,D,1938,1250,rear_garden_45ft,driveway_2_cars,single,"extended,open_plan_kitchen,downstairs_wc,walking_distance_station",approved,18,true,true,EMP-011,EMP-016,VEN-014,true,true,true,8,26,0,0,dependent_sale,"Vendor searching for onward purchase. Will accept subject to."
PROP-2024-5692,5 Willow Walk,,Manchester,M20 7KL,detached_house,5,3,3,freehold,525000,offers_over,active,14,2024-11-12,B,2032-02-20,F,1985,2100,large_garden_100ft,driveway_4_cars,double,"granny_annexe,home_gym,landscaped_gardens,gated_entrance",approved,28,true,true,EMP-001,EMP-004,VEN-015,true,true,true,6,14,1,510000,chain_free,"Premium family home. Serious cash buyer has offered."
PROP-2024-5693,41 Sunset Avenue,,Manchester,M21 6CD,semi_detached_house,3,1,2,freehold,295000,guide_price,withdrawn,35,2024-10-22,D,2025-08-15,D,1925,980,rear_garden_28ft,street_parking,none,"needs_updating,good_bones,popular_location",approved,11,true,false,EMP-011,EMP-016,VEN-016,false,false,false,14,31,2,285000,n_a,"Vendor withdrew - decided to renovate instead of sell."
PROP-2024-5694,17 Forest Road,,Manchester,M21 4YZ,detached_house,4,2,2,freehold,380000,guide_price,exchanged,52,2024-10-05,C,2031-05-10,E,1965,1350,rear_garden_55ft,driveway_2_cars,double,"red_brick,slate_roof,mature_trees,quiet_road",approved,20,true,false,EMP-013,EMP-016,VEN-017,true,true,true,19,38,3,375000,chain,"Exchanged! Completion date 15th December."
PROP-2024-5695,29 Meadow Close,,Manchester,M20 9RS,terraced_house,2,1,1,freehold,195000,fixed_price,active,4,2024-11-22,E,2025-01-20,C,1900,680,small_courtyard,street_parking,none,"renovation_project,structural_survey_recommended,below_market_value",approved,8,true,false,EMP-003,EMP-007,VEN-018,true,true,true,7,42,3,192000,investor,"Multiple investor interest. Vendor wants quick sale."
PROP-2024-5696,2 Riverside Court,Penthouse,Manchester,M20 2TU,penthouse,3,2,2,leasehold,475000,offers_invited,active,9,2024-11-17,A,2034-06-30,F,2020,1400,roof_terrace,2_parking_spaces,none,"panoramic_views,smart_home,wine_cellar,24hr_concierge",approved,25,true,true,EMP-006,EMP-004,VEN-019,true,true,true,4,11,0,0,chain_free,"Luxury property. Attracting international buyer interest."
PROP-2024-5697,66 Victoria Road,,Manchester,M20 6GH,semi_detached_house,3,2,2,freehold,315000,guide_price,active,11,2024-11-15,C,2030-09-25,D,1932,1100,rear_garden_38ft,driveway_1_car,single,"bay_fronted,newly_decorated,modern_kitchen_2024",approved,16,true,true,EMP-001,EMP-004,VEN-020,true,true,true,10,27,1,308000,first_time_buyer,"Viewing this weekend likely to generate more offers."
PROP-2024-5698,11 Albert Street,,Manchester,M21 5HJ,terraced_house,4,2,2,freehold,335000,guide_price,under_offer,22,2024-11-04,C,2029-04-12,D,1895,1180,rear_garden_32ft,street_parking,none,"victorian,high_ceilings,original_cornices,cellar",approved,17,true,false,EMP-011,EMP-016,VEN-021,true,true,true,16,39,2,330000,chain,"Offer accepted. Buyer's survey booked for next week."
PROP-2024-5699,Flat 12 The Maltings,Brewery Lane,Manchester,M20 4DF,flat,1,1,1,leasehold,175000,guide_price,completed,60,2024-09-27,B,2033-08-08,B,2012,480,none,underground_parking,none,"warehouse_conversion,exposed_brick,high_ceilings",approved,10,true,false,EMP-006,EMP-007,VEN-022,false,false,false,8,22,2,172000,completed,"Sale completed 22nd November. Commission received."
PROP-2024-5700,7 Beech Grove,,Manchester,M20 8LK,detached_house,3,2,1,freehold,365000,offers_over,active,2,2024-11-24,B,2032-11-15,D,1975,1200,rear_garden_65ft,driveway_2_cars,double,"extended_2022,bi_fold_doors,landscaped,solar_panels",approved,22,true,true,EMP-001,EMP-004,VEN-023,true,true,true,3,18,0,0,chain_free,"Just launched. 6 viewings already booked. Hot property."
PROP-2024-5701,19 Cedar Avenue,,Manchester,M21 7NB,semi_detached_house,3,1,2,freehold,268000,guide_price,active,30,2024-10-27,D,2027-06-22,D,1945,920,rear_garden_30ft,street_parking,single,"solid_family_home,gas_ch,double_glazed",approved,13,true,false,EMP-003,EMP-007,VEN-024,true,true,true,12,28,0,0,dependent_sale,"Steady interest. Vendor needs to find before accepting."
PROP-2024-5702,25 Manor Lane,,Manchester,M20 6PQ,detached_house,5,4,3,freehold,650000,guide_price,active,16,2024-11-10,B,2031-12-05,G,1890,2400,half_acre_grounds,circular_driveway,triple,"grade_2_listed,original_features,swimming_pool,tennis_court",approved,32,true,true,EMP-001,EMP-004,VEN-025,true,true,true,4,8,0,0,chain_free,"Prestige property. Selective viewings only."
PROP-2024-5703,3 Primrose Path,,Manchester,M20 5TY,bungalow,3,2,1,freehold,320000,guide_price,under_offer,19,2024-11-07,C,2030-03-18,D,1960,1050,wrap_around_garden,driveway_2_cars,single,"single_level,wheelchair_accessible,wet_room",approved,14,true,false,EMP-003,EMP-004,VEN-026,true,true,true,9,21,2,315000,cash_buyer,"Cash buyer offer accepted. Quick completion expected."
PROP-2024-5704,88 London Road,Unit 5,Manchester,M20 3RT,commercial_conversion,2,2,1,leasehold,245000,guide_price,active,13,2024-11-13,B,2034-02-28,C,2019,780,shared_courtyard,allocated_parking,none,"live_work_unit,mezzanine,industrial_chic",approved,15,true,true,EMP-006,EMP-007,VEN-027,true,true,true,6,19,0,0,investor,"Unique live/work space. Investor interest strong."
PROP-2024-5705,42 Hawthorn Drive,,Manchester,M21 9AB,semi_detached_house,4,2,2,freehold,355000,guide_price,sold_stc,38,2024-10-19,C,2029-08-30,D,1952,1280,rear_garden_42ft,driveway_2_cars,single,"loft_conversion,ensuite_master,modern_throughout",approved,19,true,true,EMP-013,EMP-016,VEN-028,true,true,true,17,41,3,350000,chain,"Sale progressing. Mortgage offer received."
PROP-2024-5706,16 Poplar Street,,Manchester,M20 4WE,terraced_house,3,1,2,freehold,255000,guide_price,active,8,2024-11-18,C,2031-07-09,C,1920,890,rear_garden_22ft,street_parking,none,"period_terrace,bay_window,original_tiles",approved,12,true,false,EMP-003,EMP-007,VEN-029,true,true,true,8,23,1,250000,first_time_buyer,"FTB offer received. Vendor considering."
PROP-2024-5707,1 The Crescent,,Manchester,M20 1AA,detached_house,6,4,4,freehold,850000,price_on_application,active,20,2024-11-06,B,2032-04-14,H,1910,3200,acre_gardens,gated_driveway,4_car,"edwardian_mansion,coach_house,wine_cellar,staff_quarters",approved,40,true,true,EMP-001,EMP-004,VEN-030,true,true,true,3,6,0,0,chain_free,"Trophy property. Discrete marketing. Qualified buyers only."
