query_id,stage_number,stage_name,substage,query_type,trigger_source,raw_query,expected_workflow,priority,complexity,expected_agents,expected_subtasks,context_required,sample_property_id,sample_vendor_id,sample_buyer_id,sample_employee_id,notes
QRY-011,3,Instruction Signed,3.1 Contract & Compliance,new_instruction,crm_trigger,"INSTRUCTION SIGNED: 47 Oak Road, M20 2QR. Vendor: Sarah Anderson. Fee: 1.2%. Sole agency 16 weeks. Initiate full onboarding.",full_onboarding,high,complex,"orchestrator,scout,intelligence,content,compliance",3.1.1|3.1.2|3.1.3|3.1.4|3.1.5,instruction_details|vendor_data|property_data,PROP-2024-5678,VEN-001,,EMP-001,Full onboarding workflow trigger
QRY-012,3,Instruction Signed,3.1 Contract & Compliance,epc_check,system_trigger,"Verify EPC status for new instruction: 15 Elm Street, M20 3AB. Check if valid and retrieve certificate details.",epc_verification,high,simple,"orchestrator,scout",3.1.3,property_address,PROP-2024-5679,VEN-002,,EMP-008,EPC validation required
QRY-013,3,Instruction Signed,3.1 Contract & Compliance,aml_check,compliance_trigger,"Run AML checks for new vendor: William Crawford, The Old Barn, Rural Lane, M23 9XY. ID documents uploaded to system.",aml_verification,high,medium,"orchestrator,compliance,scout",3.1.4,vendor_id_docs|address_proof,PROP-2024-5685,VEN-008,,EMP-018,AML compliance check
QRY-014,3,Instruction Signed,3.2 Marketing Materials,description_request,workflow_trigger,"Generate property description for: 23 Valley Drive, M20 5AB. 2-bed flat, help-to-buy eligible, new build, balcony. Target: first-time buyers.",description_generation,high,simple,"orchestrator,content,compliance",3.2.3,property_details|target_audience|photos,PROP-2024-5684,VEN-007,,EMP-009,FTB-focused description needed
QRY-015,3,Instruction Signed,3.2 Marketing Materials,photography_booking,admin_trigger,"Book professional photography for Plot 7 Oakwood Gardens. New build, 4-bed detached. Developer wants launch ASAP.",photography_coordination,medium,simple,"orchestrator",3.2.1,property_id|developer_contact,PROP-2024-5688,VEN-011,,EMP-009,New build photography booking
QRY-016,4,Property Launch,4.1 Portal Upload,launch_preparation,scheduled_task,"Property launch checklist: 9 Mill Road, M20 1ST. Verify all materials ready. EPC valid. Photos approved. Description compliant. Schedule portal upload.",launch_checklist,high,medium,"orchestrator,scout,compliance",4.1.1|4.1.2|4.1.3,all_marketing_materials|compliance_status,PROP-2024-5683,VEN-006,,EMP-009,Pre-launch verification
QRY-017,4,Property Launch,4.1 Portal Upload,portal_upload,system_trigger,"Upload property to all portals: 7 Beech Grove, M20 8LK. Rightmove premium, Zoopla featured, OnTheMarket standard.",portal_syndication,high,simple,"orchestrator,scout",4.1.1|4.1.2|4.1.3,listing_data|portal_packages,PROP-2024-5700,VEN-023,,EMP-009,Multi-portal upload
QRY-018,4,Property Launch,4.2 Buyer Notification,matched_buyer_alert,workflow_trigger,"Property launching tomorrow: 47 Oak Road, £285k, 3-bed semi, M20. Search database for matching buyers and prepare contact list.",buyer_matching,high,medium,"orchestrator,scout,intelligence",5.1.1,property_criteria|buyer_database,PROP-2024-5678,VEN-001,,EMP-001,Pre-launch buyer matching
QRY-019,4,Property Launch,4.2 Buyer Notification,launch_email,content_trigger,"Generate launch email for matched buyers: 2 Riverside Court Penthouse, £475k. Luxury property. 4 matched buyers identified.",launch_communication,medium,simple,"orchestrator,content",4.2.1,matched_buyers|property_highlights,PROP-2024-5696,VEN-019,,EMP-006,Luxury property launch email
QRY-020,4,Property Launch,4.1 Portal Upload,launch_failure,error_trigger,"Portal upload failed for 29 Meadow Close. Error: EPC expired. Property cannot go live. Alert team and resolve.",launch_error_handling,urgent,medium,"orchestrator,scout,compliance",4.1.1,epc_status|property_id,PROP-2024-5695,VEN-018,,EMP-009,EPC expiry blocking launch
QRY-021,5,Marketing Active,5.1 Buyer Matching,buyer_search,daily_task,"Daily buyer matching: Search database for buyers matching 25 Manor Lane, £650k, 5-bed detached, period features, swimming pool.",buyer_database_search,medium,medium,"orchestrator,scout,intelligence",5.1.1,property_criteria|buyer_preferences,PROP-2024-5702,VEN-025,,EMP-001,Prestige property matching
QRY-022,5,Marketing Active,5.2 Portal Performance,performance_check,scheduled_task,"Weekly portal stats request: 31 Park Road, M20 5GH. Get Rightmove views, saves, enquiries. Compare to similar properties.",portal_analytics,low,simple,"orchestrator,scout,intelligence",5.2.1,portal_data|comparable_stats,PROP-2024-5682,VEN-005,,EMP-009,Performance monitoring
QRY-023,5,Marketing Active,5.1 Buyer Matching,hot_buyer_alert,intelligence_trigger,"HOT BUYER ALERT: BUY-2024-3021 Alexander Grant just registered. Relocating from London, £400k cash, needs 3-4 bed in M20. Match immediately.",urgent_buyer_matching,urgent,medium,"orchestrator,scout,intelligence",5.1.1,buyer_profile|active_properties,,,BUY-2024-3021,EMP-001,Urgent relocation buyer
QRY-024,5,Marketing Active,5.3 Marketing Review,marketing_update,weekly_task,"Property has been live 21 days with low interest: 22 Maple Avenue. Review marketing strategy. Consider description refresh or feature boost.",marketing_review,medium,medium,"orchestrator,intelligence,content",5.3.1|7.3.1,viewing_stats|feedback_data|portal_metrics,PROP-2024-5680,VEN-003,,EMP-009,Low interest - needs attention
QRY-025,5,Marketing Active,5.1 Buyer Matching,investor_matching,manual_request,"Find investors for: 88 London Road Unit 5 (live/work), £245k. Looking for 6%+ yield buyers in database.",investor_search,medium,simple,"orchestrator,scout,intelligence",5.1.1,investor_buyers|yield_data,PROP-2024-5704,VEN-027,,EMP-006,Investment property matching
QRY-026,6,Enquiries & Viewings,6.1 Enquiry Response,portal_enquiry,rightmove,"URGENT: Rightmove enquiry just received. Sarah Thompson asking about 47 Oak Road. FTB, mortgage approved. Respond immediately.",immediate_enquiry_response,urgent,simple,"orchestrator,content,scout,compliance",6.1.1,enquiry_details|property_data,PROP-2024-5678,,BUY-2024-3002,EMP-001,Speed critical - respond in 5 mins
QRY-027,6,Enquiries & Viewings,6.1 Enquiry Response,viewing_request,phone_call,"Viewing request logged: James Wilson wants to see 22 Maple Avenue tomorrow evening. Check vendor availability and book slot.",viewing_booking,high,simple,"orchestrator,scout",6.1.4|6.2.1,buyer_id|property_id|vendor_calendar,PROP-2024-5680,,BUY-2024-3002,EMP-003,Standard viewing booking
QRY-028,6,Enquiries & Viewings,6.2 Viewing Prep,viewing_preparation,scheduled_task,"4 viewings scheduled tomorrow for 9 Mill Road. Prepare viewing brief, confirm with vendor, send buyer reminders.",viewing_preparation,high,medium,"orchestrator,scout,content",6.2.1|6.2.2|6.2.3,viewing_schedule|property_brief,PROP-2024-5683,VEN-006,,EMP-001,Multiple viewing prep
QRY-029,6,Enquiries & Viewings,6.3 Viewing Execution,viewing_notes,mobile_app,"Viewing just completed: George Hamilton at 5 Willow Walk. Very interested, asked about offer process. Cash buyer, no chain. Log feedback.",viewing_feedback_capture,high,simple,"orchestrator,intelligence",6.4.1|6.4.2,viewing_notes|buyer_sentiment,PROP-2024-5692,,BUY-2024-3025,EMP-001,Hot prospect - post viewing
QRY-030,6,Enquiries & Viewings,6.4 Post-Viewing,feedback_call,scheduled_task,"Post-viewing feedback calls due: Contact all 5 buyers who viewed 31 Park Road this week. Gather feedback for vendor report.",batch_feedback_collection,medium,medium,"orchestrator,content,intelligence",6.4.1|7.1.1,viewing_list|buyer_contacts,PROP-2024-5682,VEN-005,,EMP-001,Multiple feedback calls needed
QRY-031,7,Feedback & Adjustments,7.1 Feedback Analysis,daily_feedback,scheduled_task,"Daily feedback aggregation: Compile all feedback received today across all properties. Identify patterns and concerns.",feedback_aggregation,medium,medium,"orchestrator,intelligence",7.1.1|7.1.2,all_feedback_data|property_list,,,,EMP-001,End of day feedback summary
QRY-032,7,Feedback & Adjustments,7.2 Vendor Reporting,weekly_report,scheduled_task,"Generate weekly vendor report for: 47 Oak Road. Week 2 on market. 12 viewings, 28 enquiries, 2 offers received. Full analysis required.",vendor_report_generation,high,complex,"orchestrator,scout,intelligence,content",7.2.1|7.2.2,viewing_data|feedback_data|market_data|offers,PROP-2024-5678,VEN-001,,EMP-001,Comprehensive weekly report
QRY-033,7,Feedback & Adjustments,7.3 Marketing Adjustment,description_refresh,manual_request,"Feedback pattern identified: 3 buyers said 22 Maple Avenue looks dated in photos. Refresh description to emphasize 'renovation potential'.",description_update,medium,simple,"orchestrator,content,compliance",7.3.1|3.2.3,current_description|feedback_themes,PROP-2024-5680,VEN-003,,EMP-009,Description repositioning
QRY-034,7,Feedback & Adjustments,7.4 Price Adjustment,price_reduction,vendor_request,"Vendor agrees to price reduction: 19 Cedar Avenue from £268k to £250k. Update all portals and notify matched buyers.",price_change_workflow,high,medium,"orchestrator,scout,content",7.4.4|5.1.1,new_price|portal_listings|matched_buyers,PROP-2024-5701,VEN-024,,EMP-003,Price reduction processing
QRY-035,7,Feedback & Adjustments,7.1 Feedback Analysis,negative_pattern,intelligence_alert,"ALERT: 5 consecutive negative feedbacks on 55 Church Lane. All mention 'dated kitchen'. Prepare vendor conversation strategy.",feedback_pattern_alert,high,medium,"orchestrator,intelligence,content",7.1.3|7.4.2,feedback_analysis|vendor_communication,PROP-2024-5689,VEN-012,,EMP-011,Consistent negative feedback
QRY-036,8,Offer Received,8.1 Buyer Qualification,offer_received,phone_call,"OFFER RECEIVED: £275,000 on 47 Oak Road from Michael Brown. Claims cash buyer, no chain. Verify financial position before presenting to vendor.",offer_qualification,urgent,medium,"orchestrator,scout,compliance,intelligence",8.1.1|8.1.2|8.1.5,buyer_id|offer_details|proof_of_funds,PROP-2024-5678,VEN-001,BUY-2024-3001,EMP-001,Cash offer - verify funds
QRY-037,8,Offer Received,8.1 Buyer Qualification,chain_assessment,verification_request,"Verify chain position for buyer Sophie Turner offering on 23 Valley Drive. Claims property under offer - check status with her agent.",chain_verification,high,medium,"orchestrator,scout",8.1.2,buyer_chain_details|agent_contact,PROP-2024-5684,,BUY-2024-3003,EMP-006,Chain buyer verification
QRY-038,8,Offer Received,8.2 Offer Presentation,offer_presentation,workflow_trigger,"Present offer to vendor: £350,000 for 9 Mill Road from Dr Stewart family. Cash buyers, chain free. Prepare recommendation.",offer_presentation_prep,urgent,medium,"orchestrator,content,intelligence",8.2.1|8.2.3|8.2.4|8.2.5,offer_details|buyer_strength|market_context,PROP-2024-5683,VEN-006,BUY-2024-3011,EMP-001,Strong offer - prepare presentation
QRY-039,8,Offer Received,8.3 Negotiation,multiple_offers,negotiation_trigger,"Multiple offers situation: 3 offers received on 29 Meadow Close. £190k, £192k, £195k. All investors. Prepare best and final process.",multiple_offer_handling,high,complex,"orchestrator,intelligence,content",8.3.3|8.3.4,all_offers|buyer_positions,PROP-2024-5695,VEN-018,,EMP-003,Best and final required
QRY-040,8,Offer Received,8.3 Negotiation,counter_offer,vendor_instruction,"Vendor counter-offer instruction: Reject £275k on 47 Oak Road. Will accept £282k minimum. Communicate to buyer.",counter_offer_communication,high,simple,"orchestrator,content",8.3.1,vendor_instruction|buyer_contact,PROP-2024-5678,VEN-001,BUY-2024-3001,EMP-001,Counter offer negotiation
QRY-041,9,Offer Accepted,9.1 Agreement,sale_agreed,crm_update,"SALE AGREED: 47 Oak Road, £280,000. Buyer: Michael & Emma Brown. Vendor: Sarah Anderson. Initiate sale agreed workflow.",sale_agreed_workflow,high,complex,"orchestrator,scout,content",9.1.1|9.1.2|9.1.3|9.2.1|9.2.2,offer_details|both_party_details,PROP-2024-5678,VEN-001,BUY-2024-3001,EMP-001,Full sale agreed process
QRY-042,9,Offer Accepted,9.2 Information Exchange,solicitor_collection,admin_task,"Collect solicitor details: Buyer Michael Brown on 47 Oak Road. Need firm name, contact person, email, phone for MoS.",solicitor_details_collection,high,simple,"orchestrator,scout",9.2.1,buyer_id,PROP-2024-5678,,BUY-2024-3001,EMP-005,Buyer solicitor details needed
QRY-043,9,Offer Accepted,9.2 Information Exchange,chain_mapping,intelligence_task,"Map full chain for: 31 Park Road sale. Buyer has dependent sale in Stockport. Need to understand full chain length.",chain_analysis,high,medium,"orchestrator,scout,intelligence",9.2.4|11.1.4,buyer_chain|related_properties,PROP-2024-5682,VEN-005,BUY-2024-3023,EMP-005,Chain mapping required
QRY-044,9,Offer Accepted,9.3 Handover,progressor_handover,workflow_trigger,"Handover to sales progressor: 3 Primrose Path. Sale agreed at £315k. Cash buyer. Prepare comprehensive handover brief.",sales_handover,high,medium,"orchestrator,content,scout",9.3.1|9.3.2,sale_details|all_party_info,PROP-2024-5703,VEN-026,BUY-2024-3043,EMP-005,Handover to progression team
QRY-045,9,Offer Accepted,9.1 Agreement,congratulations,communication_trigger,"Send congratulations communications: Sale agreed on 14 York Avenue. Email both buyer and vendor with next steps.",congratulations_workflow,medium,simple,"orchestrator,content",9.1.1,buyer_email|vendor_email,PROP-2024-5686,VEN-009,BUY-2024-3012,EMP-003,Celebratory communication
QRY-046,10,Memorandum of Sale,10.1 MoS Creation,mos_generation,workflow_trigger,"Generate Memorandum of Sale: 47 Oak Road. All party details confirmed. Create and distribute to all parties.",mos_creation,high,medium,"orchestrator,content,scout",10.1.1|10.1.2|10.1.3|10.1.4|10.1.5|10.1.6,all_party_details|sale_terms,PROP-2024-5678,VEN-001,BUY-2024-3001,EMP-005,Full MoS generation
QRY-047,10,Memorandum of Sale,10.2 Distribution,mos_distribution,system_trigger,"Distribute MoS for 31 Park Road to: Buyer, Vendor, Buyer's Solicitor, Vendor's Solicitor, Mortgage Lender.",mos_email_distribution,high,simple,"orchestrator,content",10.2.1|10.2.2|10.2.3|10.2.4|10.2.5,mos_document|all_email_addresses,PROP-2024-5682,VEN-005,BUY-2024-3008,EMP-005,MoS distribution workflow
QRY-048,10,Memorandum of Sale,10.3 Portal Updates,sstc_update,system_trigger,"Update property status to SSTC: 42 Hawthorn Drive. Update Rightmove, Zoopla, OnTheMarket, and agency website.",status_change_workflow,high,simple,"orchestrator,scout",10.3.1|10.3.2|10.3.3|10.3.4|10.3.5,property_id|new_status,PROP-2024-5705,VEN-028,,EMP-009,Portal status updates
QRY-049,10,Memorandum of Sale,10.1 MoS Creation,mos_amendment,correction_request,"MoS amendment required: Buyer's solicitor details were wrong on 11 Albert Street. Regenerate and redistribute.",mos_correction,medium,simple,"orchestrator,content",10.1.5|10.2.3,corrected_details,PROP-2024-5698,VEN-021,BUY-2024-3015,EMP-005,Solicitor details correction
QRY-050,10,Memorandum of Sale,10.3 Portal Updates,keep_marketing,vendor_request,"Vendor request: Keep 8 Queens Drive marketing active despite SSTC. Wants backup buyers in case sale falls through.",conditional_marketing,medium,simple,"orchestrator,scout",10.3.1,vendor_instruction,PROP-2024-5687,VEN-010,,EMP-003,Continue marketing while SSTC
QRY-051,11,Sales Progression,11.1 Initial Setup,progression_setup,new_case,"New progression case: 47 Oak Road. Create timeline, identify milestones, set up tracking for all parties.",progression_initialization,high,medium,"orchestrator,scout,intelligence",11.1.1|11.1.2|11.1.3|11.1.4,sale_details|chain_info|party_contacts,PROP-2024-5678,VEN-001,BUY-2024-3001,EMP-005,Progression case setup
QRY-052,11,Sales Progression,11.2 Solicitor Chase,contract_chase,scheduled_task,"Weekly chase: Contract pack not yet received from vendor's solicitor on 31 Park Road. Last requested 10 days ago.",solicitor_chase,high,simple,"orchestrator,content",11.2.1,solicitor_contact|last_contact_date,PROP-2024-5682,VEN-005,,EMP-005,Contract pack chase
QRY-053,11,Sales Progression,11.3 Survey Coordination,survey_issue,buyer_update,"Survey issue: Down-valuation on 66 Victoria Road. Surveyor valued at £300k vs £315k agreed. Need renegotiation strategy.",down_valuation_handling,urgent,complex,"orchestrator,intelligence,content",11.3.5,survey_report|valuation_gap,PROP-2024-5697,VEN-020,BUY-2024-3002,EMP-005,Down-valuation negotiation
QRY-054,11,Sales Progression,11.4 Mortgage Tracking,mortgage_chase,weekly_task,"Mortgage offer chase: 3 weeks since valuation on 42 Hawthorn Drive. Buyer's broker not responding. Escalate.",mortgage_offer_chase,high,medium,"orchestrator,scout,content",11.4.2|11.4.3,mortgage_status|broker_contact,PROP-2024-5705,VEN-028,BUY-2024-3040,EMP-005,Mortgage delay escalation
QRY-055,11,Sales Progression,11.7 Fall-Through Risk,at_risk_alert,intelligence_alert,"RED FLAG: 11 Albert Street showing fall-through risk. Buyer gone quiet, solicitor not responding. Initiate intervention.",fall_through_prevention,urgent,complex,"orchestrator,intelligence,content,scout",11.7.1|11.7.2|11.7.3,risk_indicators|last_contacts,PROP-2024-5698,VEN-021,BUY-2024-3015,EMP-005,At-risk sale intervention
QRY-056,12,Exchange of Contracts,12.1 Pre-Exchange,exchange_readiness,scheduled_check,"Pre-exchange checklist: 17 Forest Road. Verify all parties ready: Deposit funds, mortgage offer, contract approval, insurance.",exchange_preparation,high,complex,"orchestrator,scout,compliance",12.1.1|12.1.2|12.1.3|12.1.4|12.1.5,all_party_status|documentation,PROP-2024-5694,VEN-017,BUY-2024-3037,EMP-005,Exchange readiness check
QRY-057,12,Exchange of Contracts,12.2 Exchange Coordination,exchange_date,coordination_task,"Coordinate exchange: All parties on 3 Primrose Path ready. Buyer wants exchange Friday, complete in 2 weeks. Confirm with chain.",exchange_scheduling,high,medium,"orchestrator,scout,content",12.2.1|12.2.2,party_availability|chain_status,PROP-2024-5703,VEN-026,BUY-2024-3043,EMP-005,Exchange date coordination
QRY-058,12,Exchange of Contracts,12.2 Exchange Coordination,exchange_day,live_monitoring,"EXCHANGE DAY: 17 Forest Road. Monitor solicitor communications. Confirm deposit received. Update on contract swap.",exchange_monitoring,urgent,medium,"orchestrator,scout",12.2.3|12.2.4,solicitor_comms|deposit_status,PROP-2024-5694,VEN-017,,EMP-005,Live exchange monitoring
QRY-059,12,Exchange of Contracts,12.3 Post-Exchange,exchange_confirmation,success_trigger,"EXCHANGED: 17 Forest Road. Completion date 15th December. Update all systems, notify all parties, congratulations calls.",post_exchange_workflow,high,medium,"orchestrator,content,scout",12.3.1|12.3.2|12.3.3|12.3.4,exchange_details|completion_date,PROP-2024-5694,VEN-017,BUY-2024-3037,EMP-005,Post-exchange actions
QRY-060,12,Exchange of Contracts,12.1 Pre-Exchange,exchange_delay,problem_trigger,"Exchange delayed: Buyer's solicitor on 14 York Avenue raised last-minute enquiry. Sale at risk. Need immediate resolution.",exchange_problem_handling,urgent,complex,"orchestrator,intelligence,content",12.1.4|11.7.3,enquiry_details|solicitor_contact,PROP-2024-5686,VEN-009,BUY-2024-3012,EMP-005,Exchange delay resolution
QRY-061,13,Completion Day,13.1 Pre-Completion,completion_prep,scheduled_task,"Completion tomorrow: 17 Forest Road. Final checks - funds transfer arranged, property vacant, meter readings, key collection.",completion_preparation,high,medium,"orchestrator,scout",13.1.1|13.1.2|13.1.3|13.1.4,all_party_confirmation,PROP-2024-5694,VEN-017,,EMP-005,Pre-completion verification
QRY-062,13,Completion Day,13.2 Completion Monitoring,completion_day,live_monitoring,"COMPLETION DAY: 17 Forest Road. Monitor funds transfer. Confirm legal completion. Prepare for key release.",completion_monitoring,urgent,medium,"orchestrator,scout",13.2.1|13.2.2|13.2.3,bank_confirmation|solicitor_status,PROP-2024-5694,VEN-017,,EMP-005,Completion day monitoring
QRY-063,13,Completion Day,13.2 Completion Monitoring,funds_delay,problem_trigger,"URGENT: Funds not received by noon on completion day for Flat 12 The Maltings. Chase buyer's solicitor immediately.",completion_funds_chase,urgent,complex,"orchestrator,content,scout",13.2.2,solicitor_contact|bank_details,PROP-2024-5699,VEN-022,,EMP-005,Funds delay escalation
QRY-064,13,Completion Day,13.3 Key Handover,completion_success,success_trigger,"COMPLETED: 17 Forest Road. Legal completion confirmed at 2:15pm. Release keys to buyer. Trigger post-completion workflow.",key_release_workflow,high,simple,"orchestrator,scout,content",13.3.1|13.3.2|13.3.3,completion_time|key_location,PROP-2024-5694,VEN-017,BUY-2024-3037,EMP-001,Key release and handover
QRY-065,13,Completion Day,13.3 Key Handover,congratulations,completion_trigger,"Send completion congratulations: Flat 12 The Maltings completed. Welcome new owner Olivia Chapman to her first home!",completion_congratulations,medium,simple,"orchestrator,content",13.3.3,buyer_details|property_info,PROP-2024-5699,,BUY-2024-3022,EMP-006,New homeowner welcome
QRY-066,14,Post-Completion,14.1 Commission,invoice_generation,accounts_trigger,"Generate commission invoice: 17 Forest Road completed at £375,000. Fee 1.2% + VAT. Submit to vendor's solicitor.",invoice_creation,high,simple,"orchestrator,content",14.1.2|14.1.3,sale_price|fee_rate|solicitor_details,PROP-2024-5694,VEN-017,,EMP-020,Commission invoice
QRY-067,14,Post-Completion,14.2 Marketing Removal,listing_removal,system_trigger,"Remove all marketing: 17 Forest Road completed. Take down board, remove from all portals, update website status.",marketing_removal,medium,simple,"orchestrator,scout",14.2.1|14.2.2|14.2.3|14.2.4|14.2.5,property_id|portal_listings,PROP-2024-5694,VEN-017,,EMP-009,Post-completion cleanup
QRY-068,14,Post-Completion,14.3 Client Communication,review_request,communication_trigger,"Request Google review from: George & Patricia Howard (vendors 17 Forest Road) and buyer. Send personalized thank you.",review_request_workflow,medium,simple,"orchestrator,content",14.3.2|14.3.3,vendor_email|buyer_email,PROP-2024-5694,VEN-017,BUY-2024-3037,EMP-001,Review request emails
QRY-069,14,Post-Completion,14.1 Commission,commission_received,accounts_update,"Commission received: £4,500 + VAT for 17 Forest Road. Allocate team splits: 60% Tom Davies, 40% Michael Thompson.",commission_allocation,medium,simple,"orchestrator",14.1.4|14.1.5,commission_amount|team_split,PROP-2024-5694,,,EMP-020,Commission distribution
QRY-070,14,Post-Completion,14.3 Client Communication,thank_you,communication_trigger,"Send handwritten thank you cards to: Vendor Sarah Anderson and Buyers Michael & Emma Brown for 47 Oak Road sale.",thank_you_workflow,low,simple,"orchestrator,content",14.3.1,client_addresses,PROP-2024-5678,VEN-001,BUY-2024-3001,EMP-008,Thank you card generation
QRY-071,15,Client Retention,15.1 Client Database,database_update,system_trigger,"Update client database: Sarah Anderson now buyer. Looking for 4-bed in M21 for onward purchase. Add to buyer database.",client_status_update,medium,simple,"orchestrator,scout",15.1.1,vendor_now_buyer|new_requirements,PROP-2024-5678,VEN-001,,EMP-001,Vendor becomes buyer
QRY-072,15,Client Retention,15.2 Anniversary Contact,anniversary_reminder,scheduled_task,"1-year anniversary: Contact Olivia Chapman (Flat 12 The Maltings). Check satisfaction, ask about referrals.",anniversary_outreach,low,simple,"orchestrator,content",15.2.1,completion_date|client_contact,PROP-2024-5699,,BUY-2024-3022,EMP-006,Anniversary contact
QRY-073,15,Client Retention,15.3 Referral Generation,referral_request,proactive_task,"High satisfaction client: Dr Stewart family (completed 3 months ago). Ask for referrals - they're connected in medical community.",referral_outreach,medium,simple,"orchestrator,content",15.3.1,client_profile|satisfaction_score,,,BUY-2024-3011,EMP-001,Referral generation
QRY-074,15,Client Retention,15.4 Future Opportunities,reactivation,scheduled_task,"Database reactivation: Contact leads registered 18+ months ago who never purchased. 47 leads identified for re-engagement.",database_reactivation,low,medium,"orchestrator,content,intelligence",15.4.4,stale_leads|reactivation_template,,,Multiple,EMP-003,Stale lead reactivation
QRY-075,15,Client Retention,15.3 Referral Generation,testimonial_request,content_trigger,"Request testimonial from: Michael & Emma Brown (cash buyer, smooth transaction on 47 Oak Road). For website and marketing.",testimonial_collection,low,simple,"orchestrator,content",15.3.3,client_details|transaction_highlights,PROP-2024-5678,,BUY-2024-3001,EMP-001,Case study creation
